City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
266,Udachnyy,RU,66.4167,112.4,-24.56,74,93,0.69,overcast clouds
267,Mogadishu,SO,2.0371,45.3438,84.07,74,40,16.11,scattered clouds
268,Buguruslan,RU,53.6554,52.442,23.65,95,100,18.86,snow
269,Leningradskiy,RU,69.3833,178.4167,-12.59,98,100,8.48,overcast clouds
270,Kieta,PG,-6.2167,155.6333,81.39,83,100,0.18,light rain
271,Phatthalung,TH,7.5,100.0833,89.55,67,47,11.16,scattered clouds
272,Atocha,BO,-20.9333,-66.2333,45.36,83,100,3.76,overcast clouds
273,Lahat,ID,-3.8,103.5333,84.38,75,76,3.51,broken clouds
274,Kahului,US,20.8947,-156.47,72.84,79,1,12.66,clear sky
275,Saskylakh,RU,71.9167,114.0833,-29.07,100,23,2.17,few clouds
276,Port Blair,IN,11.6667,92.75,81.39,64,7,14.05,clear sky
277,Bloomingdale,US,27.8936,-82.2404,66.85,97,1,0.0,mist
278,Salinas,US,36.6777,-121.6555,49.23,80,75,8.05,broken clouds
279,Saint Anthony,US,45.0205,-93.218,20.35,78,90,1.99,overcast clouds
280,Kuldur,RU,49.2167,131.6333,-9.99,86,61,6.51,broken clouds
281,Geraldton,AU,-28.7667,114.6,91.81,46,22,16.11,few clouds
282,Rangapara,IN,26.8167,92.65,72.28,37,7,5.66,clear sky
283,Kaitangata,NZ,-46.2817,169.8464,65.93,71,41,5.68,scattered clouds
284,Ancud,CL,-41.8697,-73.8203,54.93,93,2,2.28,clear sky
285,Port Lincoln,AU,-34.7333,135.8667,66.16,63,22,21.0,few clouds
286,Nanjing,CN,32.0617,118.7778,34.77,13,17,10.45,few clouds
287,Alyangula,AU,-13.8483,136.4192,82.27,89,75,6.91,light rain
288,Sept-Iles,CA,50.2001,-66.3821,15.06,81,1,2.3,clear sky
289,Naze,JP,28.3667,129.4833,50.92,70,91,20.51,overcast clouds
290,Bahia Blanca,AR,-38.7196,-62.2724,73.47,34,0,3.02,clear sky
291,Praya,CV,14.9215,-23.5087,73.94,53,20,16.11,few clouds
292,Bubaque,GW,11.2833,-15.8333,78.87,61,100,8.77,overcast clouds
293,Mae Sai,TH,20.4335,99.8762,80.44,55,9,3.31,clear sky
294,Krnov,CZ,50.0897,17.7039,17.26,79,45,2.73,scattered clouds
295,Tequila,MX,20.8833,-103.8333,66.18,39,4,2.17,clear sky
296,Jumla,NP,29.2747,82.1838,46.63,32,24,5.99,few clouds
297,Kondoa,TZ,-4.9,35.7833,70.43,60,100,8.77,overcast clouds
298,Ambilobe,MG,-13.2,49.05,90.0,44,100,5.08,overcast clouds
299,Lavrentiya,RU,65.5833,-171.0,9.39,93,100,7.54,overcast clouds
300,Ornskoldsvik,SE,63.2909,18.7153,5.95,92,43,4.61,scattered clouds
301,Polunochnoye,RU,60.8697,60.4153,8.29,85,99,10.92,overcast clouds
302,Ribeirao Branco,BR,-24.2208,-48.7656,54.21,97,0,1.57,clear sky
303,Dhone,IN,15.4167,77.8833,80.35,44,3,6.96,clear sky
304,Chhindwara,IN,22.0667,78.9333,73.65,36,15,2.35,few clouds
305,Westerly,US,41.3776,-71.8273,39.11,91,90,3.44,overcast clouds
306,Senador Jose Porfirio,BR,-2.5908,-51.9542,72.9,93,100,1.86,overcast clouds
307,Metro,ID,-5.1131,105.3067,86.38,65,92,5.79,moderate rain
308,Turan,VN,16.0678,108.2208,73.38,94,75,4.61,mist
309,Puerto Ayora,EC,-0.7393,-90.3518,69.49,93,71,6.46,broken clouds
310,Tezu,IN,27.9167,96.1667,73.47,33,67,3.74,broken clouds
311,Paine,CL,-33.8167,-70.75,76.71,47,100,0.65,overcast clouds
312,Mishan,CN,45.55,131.8833,-2.96,77,48,11.52,scattered clouds
313,Shelabolikha,RU,53.4131,82.6167,26.06,94,100,2.64,overcast clouds
314,Jalu,LY,29.0331,21.5482,54.37,56,7,6.64,clear sky
315,San Policarpo,PH,12.1791,125.5072,80.8,81,57,14.45,broken clouds
316,Ruteng,ID,-8.6136,120.4721,75.7,59,22,8.37,few clouds
317,Nassjo,SE,57.6531,14.6968,9.52,92,5,3.62,clear sky
318,Never,FR,46.9896,3.159,46.15,93,90,4.61,overcast clouds
319,Cabo San Lucas,MX,22.8909,-109.9124,73.51,63,1,1.99,clear sky
320,Santiago Del Estero,AR,-27.7951,-64.2615,70.81,40,55,3.62,broken clouds
321,Yanji,CN,42.9075,129.5078,3.22,58,38,12.95,scattered clouds
322,Inhambane,MZ,-23.865,35.3833,84.18,65,75,9.22,broken clouds
323,Aranos,NA,-24.1333,19.1167,75.25,29,6,1.45,clear sky
324,Anloga,GH,5.7947,0.8973,79.02,77,23,8.55,few clouds
325,Tiarei,PF,-17.5333,-149.3333,78.82,77,12,14.05,light rain
326,Nuuk,GL,64.1835,-51.7216,38.01,44,20,3.44,few clouds
327,Tuatapere,NZ,-46.1333,167.6833,59.83,82,100,3.53,overcast clouds
328,Pihani,IN,27.6333,80.2,69.76,34,92,3.13,overcast clouds
329,Beloha,MG,-25.1667,45.05,76.12,62,92,10.33,overcast clouds
330,Kodiak,US,57.79,-152.4072,40.21,91,100,5.5,overcast clouds
331,Maple Creek,CA,49.9168,-109.4848,-5.39,71,100,8.05,overcast clouds
332,Kaeo,NZ,-35.1,173.7833,74.32,77,40,4.43,scattered clouds
333,Goundam,ML,16.4145,-3.6708,67.1,16,100,8.72,overcast clouds
334,Birjand,IR,32.8663,59.2211,46.87,23,0,6.91,clear sky
335,Hervey Bay,AU,-25.2986,152.8535,81.03,86,100,4.0,light rain
336,Namtsy,RU,62.7161,129.6658,-50.69,99,85,2.13,overcast clouds
337,Mucurapo,TT,10.6667,-61.5333,72.25,81,33,5.82,scattered clouds
338,Bilma,NE,18.6853,12.9164,64.27,20,100,4.76,overcast clouds
339,Tyukhtet,RU,56.5389,89.3011,13.46,88,100,2.98,overcast clouds
340,Aleksandrov Gay,RU,50.147,48.5704,32.11,100,100,10.07,snow
341,Rock Springs,US,41.5875,-109.2029,33.04,69,90,25.32,overcast clouds
342,Ararat,AM,39.8317,44.7049,19.74,52,0,1.43,clear sky
343,West Bay,KY,19.3667,-81.4167,78.01,79,12,1.01,few clouds
344,Baoning,CN,25.3378,110.026,37.26,93,90,11.18,mist
345,Loksa,EE,59.5764,25.7214,14.32,78,100,15.43,overcast clouds
